X,Y,Z,Cp
0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e+01,1.000000000000000000e+00
2.310127419890148359e-01,0.000000000000000000e+00,-4.825668145892698391e+01,9.669410243346265865e-01
8.190080606697995869e-01,0.000000000000000000e+00,-4.657095182593636196e+01,8.704984875156540625e-01
1.728393637178552655e+00,0.000000000000000000e+00,-4.494262250124948821e+01,7.184944094643077594e-01
2.929324105551127211e+00,0.000000000000000000e+00,-4.336397839224919437e+01,5.183791474923180598e-01
4.399691395594351739e+00,0.000000000000000000e+00,-4.182019857156712561e+01,2.766886248805073278e-01
6.126486861057448330e+00,0.000000000000000000e+00,-4.028948448765592616e+01,-1.251883429109734800e-03
8.106198446021487314e+00,0.000000000000000000e+00,-3.874293191451489804e+01,-3.113356863025204535e-01
1.034397148894509044e+01,0.000000000000000000e+00,-3.714439014104951298e+01,-6.503905510263641165e-01
1.285149305616620019e+01,0.000000000000000000e+00,-3.545072013061906802e+01,-1.015658974833525630e+00
1.564391315656563997e+01,0.000000000000000000e+00,-3.361289098947537468e+01,-1.404165907796573576e+00
1.873700343824285852e+01,0.000000000000000000e+00,-3.157988097803227134e+01,-1.812217039729202117e+00
2.216183807106629544e+01,0.000000000000000000e+00,-2.934891031886801471e+01,-2.237302035015462653e+00
2.595006052752869863e+01,0.000000000000000000e+00,-2.691362339062843745e+01,-2.675518674734243429e+00
3.012598702060910938e+01,0.000000000000000000e+00,-2.425893018684481106e+01,-3.120615833193544741e+00
3.471013500139050478e+01,0.000000000000000000e+00,-2.138107462802885550e+01,-3.564681178898812419e+00
3.971917364176866272e+01,0.000000000000000000e+00,-1.829077314871762994e+01,-3.998340645942010330e+00
4.516676743241517755e+01,0.000000000000000000e+00,-1.501579483211799726e+01,-4.411090579655181365e+00
5.135821049038969477e+01,0.000000000000000000e+00,-1.219494811624935693e+01,-4.810020048841823659e+00
5.774286651630508516e+01,0.000000000000000000e+00,-8.776357548823504828e+00,-5.144271537952451290e+00
6.459530139679675642e+01,0.000000000000000000e+00,-5.378322921746310215e+00,-5.421894917949535042e+00
7.194928017181268842e+01,0.000000000000000000e+00,-2.107791036888542635e+00,-5.631889330936591165e+00
7.987898502640727827e+01,0.000000000000000000e+00,8.931120851479334988e-01,-5.763092542846907307e+00
8.833692843074960876e+01,0.000000000000000000e+00,3.368937824744271836e+00,-5.802410887680987450e+00
9.727680732816941145e+01,0.000000000000000000e+00,5.133459745602415580e+00,-5.740968787191312650e+00
1.066778018796737939e+02,0.000000000000000000e+00,5.940862113552832113e+00,-5.573899516553077582e+00
1.155206581432889408e+02,0.000000000000000000e+00,5.602896169001667204e+00,-5.332093129518257868e+00
1.233511275122464781e+02,0.000000000000000000e+00,4.849429823983086862e+00,-5.058769538121676845e+00
1.309181585487514212e+02,0.000000000000000000e+00,3.967291715412379460e+00,-4.749773314325031137e+00
1.385010208094740847e+02,0.000000000000000000e+00,2.952736477496003431e+00,-4.403245341945871694e+00
1.460769322805929846e+02,0.000000000000000000e+00,1.812535994292012731e+00,-4.027439395462982574e+00
1.536234032436468340e+02,0.000000000000000000e+00,5.541549861443684222e-01,-3.630928756075361363e+00
1.611182934846360979e+02,0.000000000000000000e+00,-8.142984450660648577e-01,-3.222379728627580153e+00
1.685398658007984807e+02,0.000000000000000000e+00,-2.284111937336390952e+00,-2.810331682731059821e+00
1.758668371165798590e+02,0.000000000000000000e+00,-3.845999332597259013e+00,-2.402988956858626679e+00
1.830784282251904926e+02,0.000000000000000000e+00,-5.490124830670758627e+00,-2.008029442711359636e+00
1.901544128138158385e+02,0.000000000000000000e+00,-7.206123609568606980e+00,-1.632434090016070316e+00
1.970751660491445989e+02,0.000000000000000000e+00,-8.983121883072556102e+00,-1.282340938231433247e+00
2.038979911881690157e+02,0.000000000000000000e+00,-1.032608532435973814e+01,-9.600553733271416368e-01
2.104456558592453632e+02,0.000000000000000000e+00,-1.225396627540005312e+01,-6.759084999940172533e-01
2.167826582403122018e+02,0.000000000000000000e+00,-1.420425494257619903e+01,-4.296008846322456609e-01
2.228925294664099113e+02,0.000000000000000000e+00,-1.616347320901334683e+01,-2.229842801859013568e-01
2.287596115443788278e+02,0.000000000000000000e+00,-1.811802346108279593e+01,-5.678617723593537558e-02
2.343690809957818146e+02,0.000000000000000000e+00,-2.005425711992009496e+01,6.935395785082093534e-02
2.397069696508994809e+02,0.000000000000000000e+00,-2.195854765300685330e+01,1.568213689849306536e-01
2.447601820931307941e+02,0.000000000000000000e+00,-2.381736906854355951e+01,2.079382341402151169e-01
2.495165092669608953e+02,0.000000000000000000e+00,-2.561738048843550430e+01,2.258545693806603416e-01
2.539646378440746730e+02,0.000000000000000000e+00,-2.734551693722482213e+01,2.144213881015775147e-01
2.580941550822526551e+02,0.000000000000000000e+00,-2.898908600067310459e+01,1.780500119951834992e-01
2.618955490971778772e+02,0.000000000000000000e+00,-3.053586952544377908e+01,1.215616310472081851e-01
2.653602046819332259e+02,0.000000000000000000e+00,-3.197422907580922669e+01,5.003128614148205644e-02
2.684803950347968566e+02,0.000000000000000000e+00,-3.329321345763392515e+01,-3.136959738827654887e-02
2.712492699746183575e+02,0.000000000000000000e+00,-3.448266628404941514e+01,-1.175281539202333581e-01
2.736608414172297898e+02,0.000000000000000000e+00,-3.553333130735260426e+01,-2.035387812713832512e-01
2.758882981564590864e+02,0.000000000000000000e+00,-3.572581613329928985e+01,-2.914243011406378869e-01
2.777269123667893496e+02,0.000000000000000000e+00,-3.586352824330272426e+01,-3.706745081337161074e-01
2.791631639538454124e+02,0.000000000000000000e+00,-3.597388380001885366e+01,-4.368898469861497436e-01
2.801923974996904008e+02,0.000000000000000000e+00,-3.605446260439627082e+01,-4.866955805894765952e-01
2.808112758250855450e+02,0.000000000000000000e+00,-3.610351537931286714e+01,-5.175992883225085661e-01
2.810172445674806454e+02,0.000000000000000000e+00,-3.611984383481254213e+01,-5.280442575145581907e-01
