X,Y,Z,Cp
0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e+01,1.000000000000000000e+00
2.317792868259521966e-01,0.000000000000000000e+00,-4.941974697012901885e+01,9.653801980249456793e-01
8.806874547291019262e-01,0.000000000000000000e+00,-4.887500125797050288e+01,8.629060005455381210e-01
1.933544148389741535e+00,0.000000000000000000e+00,-4.836235595576975044e+01,6.965469280399099183e-01
3.379816776713150617e+00,0.000000000000000000e+00,-4.786706114356657338e+01,4.709461613072287167e-01
5.212357077559187424e+00,0.000000000000000000e+00,-4.736320449654134279e+01,1.912013633848898553e-01
7.427393940484633639e+00,0.000000000000000000e+00,-4.681415616340924402e+01,-1.371998913931100073e-01
1.002365171786650855e+01,0.000000000000000000e+00,-4.617338581633921279e+01,-5.082912172176479171e-01
1.300062711675637139e+01,0.000000000000000000e+00,-4.538584983253092275e+01,-9.154326203236580195e-01
1.635628958488839402e+01,0.000000000000000000e+00,-4.439015536232477643e+01,-1.351101964723248727e+00
2.008469117206186283e+01,0.000000000000000000e+00,-4.312159556743772271e+01,-1.806786743585201416e+00
2.417473945735328300e+01,0.000000000000000000e+00,-4.151786449758760966e+01,-2.273153062395188329e+00
2.863066144885619480e+01,0.000000000000000000e+00,-3.957644692028972599e+01,-2.742714266058200678e+00
3.345675756140335011e+01,0.000000000000000000e+00,-3.729505848127946877e+01,-3.207566902056983249e+00
3.864960187372300737e+01,0.000000000000000000e+00,-3.466491884349195374e+01,-3.658802800301245828e+00
4.420325759664908105e+01,0.000000000000000000e+00,-3.169229222006650559e+01,-4.087446950214048691e+00
5.010926106679382741e+01,0.000000000000000000e+00,-2.840072963854845867e+01,-4.484697131135298775e+00
5.635688392876922848e+01,0.000000000000000000e+00,-2.483276819534009761e+01,-4.842179867583380037e+00
6.302648140392900444e+01,0.000000000000000000e+00,-2.121884414880662106e+01,-5.156432817329643647e+00
6.992701220955339636e+01,0.000000000000000000e+00,-1.732449168486533608e+01,-5.411446606724839015e+00
7.712595855975654047e+01,0.000000000000000000e+00,-1.340374223451973990e+01,-5.606167099263164921e+00
8.461360042288357874e+01,0.000000000000000000e+00,-9.578178795864502604e+00,-5.736115138322901430e+00
9.239127992437948933e+01,0.000000000000000000e+00,-6.004037373393160237e+00,-5.797889943176000926e+00
